,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Mitsamiouli,-11.3847,43.2844,83.5,66,41,2.89,KM,1612465417
1,Vila Velha,-20.3297,-40.2925,86.0,62,40,18.41,BR,1612465282
2,Chisec,15.8167,-90.2833,75.2,46,0,6.91,GT,1612465219
3,Puerto Ayora,-0.7393,-90.3518,86.0,62,0,5.75,EC,1612465425
4,Kavieng,-2.5744,150.7967,82.74,74,50,7.07,PG,1612465425
5,Hofn,64.2539,-15.2082,35.74,81,100,13.82,IS,1612465425
6,Fortuna,40.5982,-124.1573,50.0,81,1,6.04,US,1612465426
7,Castro,-24.7911,-50.0119,75.33,87,99,9.93,BR,1612465224
8,Chokurdakh,70.6333,147.9167,-7.96,85,0,18.75,RU,1612465426
9,Yagodnoye,62.55,149.6667,-14.46,86,100,3.71,RU,1612465426
10,Bluff,-46.6,168.3333,47.26,82,8,8.1,NZ,1612465426
11,Faya,18.3851,42.4509,60.8,44,0,5.75,SA,1612465427
12,Formosa,-26.1775,-58.1781,82.4,57,40,10.36,AR,1612465346
13,Los Llanos De Aridane,28.6585,-17.9182,64.4,42,20,4.61,ES,1612465296
14,Ushuaia,-54.8,-68.3,55.4,67,20,41.43,AR,1612465222
15,Rikitea,-23.1203,-134.9692,78.3,69,75,10.76,PF,1612465427
16,Saskylakh,71.9167,114.0833,-42.0,75,0,4.56,RU,1612465428
17,New Norfolk,-42.7826,147.0587,64.99,60,60,1.01,AU,1612465428
18,Hong Kong,22.2855,114.1577,64.99,83,1,15.79,HK,1612465397
19,Krasnogorskiy,54.6025,61.231,27.81,98,100,6.67,RU,1612465428
20,George Town,5.4112,100.3354,77.0,65,20,2.3,MY,1612465239
21,Isangel,-19.55,169.2667,78.17,79,5,5.91,VU,1612465428
22,Chui,-33.6971,-53.4616,72.9,62,15,18.41,UY,1612465429
23,Cape Town,-33.9258,18.4232,70.0,73,0,17.27,ZA,1612465376
24,Saint Paul Harbor,57.79,-152.4072,19.4,86,40,6.91,US,1612465429
25,Bambous Virieux,-20.3428,57.7575,80.6,74,40,11.5,MU,1612465429
26,Novaya Igirma,57.1334,103.9112,4.08,93,100,4.0,RU,1612465430
27,Port Alfred,-33.5906,26.891,69.01,85,32,11.16,ZA,1612465430
28,Punta Arenas,-53.15,-70.9167,62.6,42,0,29.93,CL,1612465430
29,Qaanaaq,77.484,-69.3632,-21.01,58,67,6.87,GL,1612465430
30,Yinchuan,38.4681,106.2731,33.03,71,100,9.17,CN,1612465430
31,Viedma,-40.8135,-62.9967,95.0,16,0,1.99,AR,1612465225
32,Iberia,29.9502,-91.7507,66.2,72,90,20.71,US,1612465237
33,Fairbanks,64.8378,-147.7164,-8.0,77,90,3.44,US,1612465411
34,Binzhou,37.3667,118.0167,46.0,35,100,3.0,CN,1612465431
35,Ponta Do Sol,32.6667,-17.1,50.0,65,100,8.99,PT,1612465431
36,Uvat,59.1433,68.8953,8.89,94,100,5.57,RU,1612465431
37,Solwezi,-12.1688,26.3894,64.38,92,92,3.04,ZM,1612465257
38,Mataura,-46.1927,168.8643,43.81,85,12,3.67,NZ,1612465431
39,Tuktoyaktuk,69.4541,-133.0374,-38.2,67,40,11.5,CA,1612465392
40,Kropotkin,45.4375,40.5756,49.6,64,100,6.06,RU,1612465432
41,Busselton,-33.65,115.3333,54.0,77,40,11.45,AU,1612465432
42,Mar Del Plata,-38.0023,-57.5575,71.6,64,20,20.71,AR,1612465149
43,Gaillac,43.9016,1.8969,54.0,82,73,3.0,FR,1612465432
44,Thompson,55.7435,-97.8558,-7.6,71,90,11.5,CA,1612465432
45,Vila,42.0304,-8.1588,46.99,91,100,2.04,PT,1612465432
46,Huitziltepec,17.8167,-99.4667,85.51,27,0,4.03,MX,1612465432
47,The Valley,18.217,-63.0578,84.2,69,20,13.8,AI,1612465433
48,Pangai,-19.8,-174.35,81.05,85,100,15.23,TO,1612465433
49,Yellowknife,62.456,-114.3525,-24.0,68,1,10.36,CA,1612465433
50,Varzelândia,-15.7014,-44.0275,86.31,48,17,5.17,BR,1612465433
51,Vaini,-21.2,-175.2,78.8,94,75,4.61,TO,1612465433
52,Cayenne,4.9333,-52.3333,84.2,70,75,12.66,GF,1612465209
53,Albany,42.6001,-73.9662,37.0,51,20,11.5,US,1612465434
54,Lüderitz,-26.6481,15.1594,71.37,56,0,24.63,NA,1612465434
55,Rome,43.2128,-75.4557,35.6,55,1,8.05,US,1612465425
56,Sarai Alamgir,32.9012,73.7559,55.4,76,40,2.53,PK,1612465434
57,Avarua,-21.2078,-159.775,80.6,83,100,3.44,CK,1612465435
58,Ponta Delgada,37.7333,-25.6667,55.4,67,40,25.32,PT,1612465435
59,San Quintín,30.4833,-115.95,62.13,65,98,16.28,MX,1612465435
60,Saint George,37.1041,-113.5841,52.0,34,1,2.35,US,1612465152
61,Kumul,42.8,93.45,26.67,85,0,0.96,CN,1612465435
62,Korgen,66.0771,13.8153,9.0,85,0,2.3,NO,1612465435
63,Bethel,41.3712,-73.414,39.2,48,1,11.5,US,1612465435
64,Laguna,38.421,-121.4238,53.01,50,1,8.05,US,1612465397
65,Husavik,66.0449,-17.3389,26.6,74,20,6.91,IS,1612465436
66,Bredasdorp,-34.5322,20.0403,68.0,68,95,5.75,ZA,1612465436
67,Te Anau,-45.4167,167.7167,51.06,85,30,0.54,NZ,1612465436
68,Tasiilaq,65.6145,-37.6368,26.6,86,90,17.27,GL,1612465436
69,Hermanus,-34.4187,19.2345,70.0,73,66,1.01,ZA,1612465436
70,Hasaki,35.7333,140.8333,32.0,55,0,5.75,JP,1612465437
